Node Pair,Connectivity Change (Z)
[Cingulate cortex posterior - Superior frontal gyrus],0.0774440877966245
[Calcarine sulcus anterior - Inferior frontal sulcus],0.07729467499468462
[Calcarine sulcus anterior - Paracentral lobule],0.0771624948137767
[Superior parts of Postcentral and Precentral gyri - Angular gyrus superior],0.07716147578466843
[Intraparietal sulcus - Middle frontal gyrus anterior],0.0770020734368887
[Dorsomedial prefrontal cortex antero-superior - Superior parietal lobule posterior],0.07660299475262584
[Heschl’s gyrus - Central sulcus],0.07644264858910314
[Cuneus - Anterior Cingulate Cortex],-0.04830158995469789
[Planum polare - Putamen],-0.048549001233149806
[Thalamus - Supramarginal gyrus],-0.048711341438605615
[Dorsomedial prefrontal cortex antero-superior - Fusiform gyrus],-0.04897404593881117
[Cerebellum Crus II - Occipital pole],-0.05010034340190137
[Caudate - Cingulate gyrus mid-anterior],-0.0511531303338829
[Parieto-occipital sulcus anterior - Anterior Cingulate Cortex],-0.05137302339358378
[Cingulate gyrus mid-posterior - ventricles],-0.05148497919777107
[Calcarine sulcus anterior - Superior rostral gyrus],-0.05200209264742945
[Cerebellum Crus II - Lateral occipital cortex],-0.05227567344324509
[Parieto-occipital sulcus superior - Thalamus],-0.052895813259723604
[Paracentral lobule superior - Superior fornix and isthmus],-0.053138616090620386
[Intraparietal sulcus LH - Postcentral gyrus LH],-0.05433584793222303
[Parieto-occipital sulcus superior - Caudate],-0.0543514162800353
[Superior rostral gyrus - Insula antero-superior],-0.05519223365802597
[Insula antero-superior - Anterior Cingulate Cortex],-0.05545454409617229
[Cingulate cortex posterior - Superior rostral gyrus],-0.056097627958026676
[Cuneus - Putamen],-0.056282192496670255
[Postcentral gyrus inferior - Anterior Cingulate Cortex],-0.05660912729218428
[Thalamus - Heschl’s gyrus],-0.05762942167455427
[Planum polare - Lingual gyrus anterior],-0.05890347541478303
[Calcarine sulcus anterior - Planum polare],-0.05939292124505095
[Superior occipital gyrus - Planum polare],-0.059618953567368835
[Precentral gyrus superior - Middle frontal gyrus anterior],-0.05978043434157226
[Cerebellum Crus II - Descending occipital gyrus],-0.06087805779948912
[Superior rostral gyrus - Thalamus],-0.061471557243401996
[Planum polare - Caudate],-0.06177534743963966
[Planum polare - Paracentral lobule superior],-0.06239500219769173
[Transverse sinus - Paracentral lobule superior],-0.0628569864638492
[Superior rostral gyrus - Putamen],-0.06368927070202375
[Anterior Cingulate Cortex - Middle temporal gyrus],-0.06413252981435186
[Cuneus - Insula antero-superior],-0.06493333277219053
[Calcarine sulcus anterior - Caudate],-0.06559309408310607
[Caudate - Supramarginal gyrus],-0.065774123129998
[Anterior Cingulate Cortex - Planum temporale],-0.06589138244795865
[Intraparietal sulcus RH - Postcentral gyrus LH],-0.0669346264576802
[Superior frontal sulcus - Precentral gyrus superior],-0.06761612732310572
[Paracentral lobule superior - Inferior occipital gyrus],-0.06819450253361763
[Anterior Cingulate Cortex - Heschl’s gyrus],-0.07034808738483889
[Calcarine cortex posterior - Planum polare],-0.0713188286306975
[Parieto-occipital sulcus anterior - Caudate],-0.07223091905262732
[Superior occipital gyrus - Cerebellum Crus II],-0.07438592136394823
[Caudate - Planum temporale],-0.07470137942434245
[Parieto-occipital sulcus anterior - Superior rostral gyrus],-0.07582877836287544
[Caudate - Parieto-occipital sulcus middle],-0.07812875232505208
[Caudate - Descending occipital gyrus],-0.08168666714527797
[Superior rostral gyrus - Heschl’s gyrus],-0.08217513944524585
[Parieto-occipital sulcus anterior - Planum polare],-0.08351974987257972
[Superior rostral gyrus - Lingual gyrus anterior],-0.08378132946541371
[Cuneus - Planum polare],-0.08621754620130613
[Cuneus - Caudate],-0.09871334808138794
[Caudate - Heschl’s gyrus],-0.12362885197426053
